pep length_3,pep length_4,pep length_5,pep length_8,pep length_9,pep length_10,APBS_Ligand,CHARMM,ElectDD,PLANTS_CHEMPLP,PLANTS_CHEMPLP_NORM_WEIGHT,PLANTS_CHEMPLP_RB_PEN_NORM_CRT_HEVATOMS,PLANTS_CHEMPLP_NORM_CONTACT,RPScore_Norm_LigContacts,RPScore_LigContacts,RPScore_RecContacts,XS_HPScore,XS_HSScore,DPSA1,PPSA1,MOMI-Z,PBF,PNSA1:nrb,WNSA2:nrb,RNCS:nrb,RPCS:nha,RPCS:nrb,MOMI-Z:nrb,Region 1,psi_prob
1,0,0,0,0,0,-572.169312,-10.338325,-213.980042,-112.045998,-0.295227,-26.6912,-3.39532,-0.386667,3,23,6.34,6.3,284.6508362028984,485.7518515750489,3034.443480704273,0.8392263684629685,11.17227863178614,-28.25363197732385,15.250826984321426,15.003877479999446,20.83871872222145,168.58019337245963,1.0,0.0110067088732385
1,0,0,0,0,0,-564.900452,-0.036216,-218.846573,-114.901001,-0.30275,-27.6677,-3.37943,-0.33,3,22,6.23,6.19,284.8147651466973,484.8039165522967,2991.339960535136,0.8181661972179921,11.110508411422188,-28.013159765344277,14.890879297672484,15.5712084313026,21.626678376809167,166.1855533630631,1.0,0.0085703892685354
1,0,0,0,0,0,-567.390381,-33.579784,-203.986801,-112.468002,-0.296338,-26.835501,-3.40811,-0.473333,3,23,6.39,6.39,283.5033323672005,484.1410110038668,3005.781277273235,0.8942150301445938,11.146537702037014,-28.1034110894214,13.08331591471802,14.193404692423512,19.713062072810438,166.98784873740195,1.0,0.0105942241157563
1,0,0,0,0,0,-582.067749,-9.542341,-172.82431,-126.133003,-0.332345,-31.5091,-3.82221,-0.476667,3,23,6.52,6.58,293.9198499192738,481.9082186664211,2921.0924590159384,1.0527320758401266,10.443798263730402,-25.7593588897248,14.390082516247867,7.53739692445617,10.468606839522458,162.28291438977436,1.0,0.0080698264395808
1,0,0,0,0,0,-565.256592,248.957794,-152.472198,-99.557297,-0.262322,-22.4203,-3.01689,-0.403333,3,22,6.32,6.38,270.5312784047918,467.5068924556623,2143.4765761246326,1.160305959416668,10.943089669492805,-26.772709160274733,14.366607667118592,14.10222650382122,19.586425699751697,119.08203200692404,1.0,0.0070915942112926
1,0,0,0,0,0,-526.771606,51.682266,-167.004471,-102.308998,-0.269571,-23.3613,-3.19715,-0.486667,3,27,6.31,6.2,304.70671183518004,482.96787934340296,2891.709765932944,0.8839037929253983,9.903398194901271,-24.110431058659408,13.138090562686337,11.539106313112336,16.026536545989355,160.6505425518302,1.0,0.0095179966375055
1,0,0,0,0,0,-663.052612,153.149658,-138.288452,-95.940498,-0.252792,-21.183399,-2.99814,-0.153333,3,22,6.27,6.18,274.0569349392404,462.7227483191287,3025.040636427483,0.8607693912316108,10.481434076660465,-25.13793769932192,9.264740456355346,2.107229247697424,2.926707288468644,168.05781313486017,0.0,0.0019121035192957
1,0,0,0,0,0,-605.912964,14.25672,-102.975594,-95.164902,-0.250748,-20.9181,-3.17216,-0.13,3,23,6.27,6.24,259.5180512180382,454.1764117783596,3113.775370939945,0.8717567070193253,10.8143533644623,-25.83470358636673,11.56527567102466,7.425956916164479,10.313829050228442,172.9875206077747,0.0,0.00111415021614
1,0,0,0,0,0,-614.165161,-17.512644,-146.035934,-97.046799,-0.255707,-21.561701,-3.34644,-0.263333,3,22,6.22,6.22,268.8950310019421,468.2333427381262,2790.145296137101,1.0319894164896832,11.074350652010231,-27.219802445569584,11.17402818553668,7.598182383524366,10.553031088228286,155.0080720076167,0.0,0.001403719596911
1,0,0,0,0,0,-565.81311,11.58335,-73.801895,-86.987602,-0.229202,-18.1215,-3.22176,-0.57,3,24,6.15,6.07,308.31396792022184,492.825671033382,2786.13105633248,1.0397177698816011,10.25065017295334,-25.56379125022808,11.815674061736969,14.841782922484258,20.613587392339248,154.78505868513776,0.0,0.0008060831369235
