pep length_3,pep length_4,pep length_5,pep length_8,pep length_9,pep length_10,APBS_Ligand,CHARMM,ElectDD,PLANTS_CHEMPLP,PLANTS_CHEMPLP_NORM_WEIGHT,PLANTS_CHEMPLP_RB_PEN_NORM_CRT_HEVATOMS,PLANTS_CHEMPLP_NORM_CONTACT,RPScore_Norm_LigContacts,RPScore_LigContacts,RPScore_RecContacts,XS_HPScore,XS_HSScore,DPSA1,PPSA1,MOMI-Z,PBF,PNSA1:nrb,WNSA2:nrb,RNCS:nrb,RPCS:nha,RPCS:nrb,MOMI-Z:nrb,Region 1,psi_prob
0,0,0,0,0,1,-374.402649,389.33551,-1.263839,-98.752197,-0.099833,-19.018499,-1.59278,0.229412,17,17,7.04,7.66,765.3614935157483,1066.7035229916014,6193.216912452641,1.4658643675130925,30.13420294758531,-302.41632216551494,49.27891217049319,4.389170678046294,31.163111814128683,619.3216912452641,1.0,0.00881351202984987
0,0,0,0,0,1,-382.753632,57.896919,-6.909313,-87.863602,-0.088825,-16.388901,-1.39466,0.19,16,14,6.68,7.26,792.6134081141756,1080.6082415749124,4851.080442213424,1.543506808725731,28.799483346073675,-289.1393286022231,47.45480665165376,4.022642855244933,28.56076427223902,485.1080442213424,1.0,0.01077373654961603
0,0,0,0,0,1,-428.876099,2752.795166,-2.029557,-72.461601,-0.073255,-12.6694,-1.15018,0.189444,18,15,6.54,7.04,781.5647109206011,1075.4220817399687,4490.686854651518,1.4579995714575968,29.385737081936764,-295.17096818795073,52.70261791354567,3.825634150489201,27.162002468473325,449.0686854651518,1.0,0.009707277725750169
0,0,0,0,0,1,-372.009094,730.162292,-18.792023,-101.413002,-0.102523,-19.6612,-1.56021,0.374375,16,16,6.95,7.35,766.6554938975119,1069.856620068993,5758.67678476595,1.4856067210222927,30.320112617148112,-305.39686369511185,56.40695527488116,4.114274810945273,29.21135115771144,575.8676784765951,1.0,0.01027338142494475
0,0,0,0,0,1,-419.528961,2621.058838,2.645193,-98.2687,-0.099344,-18.9018,-1.53545,0.311667,18,16,7.43,7.68,731.962223244625,1045.6064500534344,4209.743747044093,1.4399014750148782,31.36442268088094,-312.73883640171914,44.17141671774276,1.2920105753747964,9.173275085161055,420.9743747044093,1.0,0.009918080185925108
0,0,0,0,0,1,-632.663147,8.255986,-196.239166,-153.481003,-0.142734,-20.1805,-1.9428,0.558,10,31,8.5,8.55,511.8951895714446,1003.628159615999,13472.769102907463,1.426187685835666,12.293324251113862,-182.7913394427467,19.732974580660517,7.887767301194898,14.986757872270308,336.8192275726866,0.625,0.004470498785177968
0,0,0,0,0,1,-607.180298,830.811951,-210.742737,-152.431,-0.141757,-19.9326,-1.9295,0.562,10,32,8.22,8.3,508.2407218384942,994.1727769380644,12763.964821011614,1.4416594136092575,12.148301377489252,-178.79205862161456,20.636411971100397,8.069900471559967,15.332810895963936,319.09912052529035,0.25,0.003097020336756807
0,0,0,0,0,1,-639.736938,-86.878975,-170.732681,-148.330994,-0.137944,-18.9646,-1.8776,0.521,10,31,8.69,8.76,523.9026597907841,1011.9444322628328,13887.247833393616,1.430426539364133,12.201044311801216,-181.98033505574517,18.335024092295647,8.34310022710757,15.851890431504383,347.1811958348404,0.375,0.004620987277019257
0,0,0,0,0,1,-773.528503,-28.840067,-114.559029,-132.722,-0.123428,-15.2796,-1.63854,0.185,10,25,7.71,7.57,551.88088135802,1062.3718370270708,16727.45445376072,1.707063559918907,12.76227389172627,-199.59933534735887,16.176284222507725,9.267776322807148,17.60877501333358,418.18636134401805,0.375,0.003703624111806209
0,0,0,0,0,1,-784.317017,-21.702847,-150.006668,-122.716003,-0.114123,-12.9175,-1.57329,0.26,10,23,7.36,7.17,561.998070764419,1012.3256023386276,14428.929588828476,1.7409027158370909,11.258188289355214,-163.7382124523133,16.214323691578876,7.712639252766947,14.6540145802572,360.7232397207119,0.25,0.0025991051456857
0,0,0,0,0,1,-693.947815,406.396912,-69.076622,-124.764,-0.116028,-13.401,-1.57929,0.351,10,27,8.05,7.98,590.3450184557037,1079.3576762927053,21947.791556312503,2.055462938234626,12.22531644592504,-190.65531613209777,14.854412672285164,7.929798032817603,15.066616262353447,548.6947889078126,0.125,0.002577354425292578
0,0,0,0,0,1,-769.316895,-30.12228,-135.080856,-115.019997,-0.106965,-11.1005,-1.53359,0.151,10,22,7.08,6.73,536.5882548296312,1036.2065491800315,13295.984350252314,1.3572352788509852,12.490457358760017,-190.74809991618932,12.961949085995318,9.0155919330709,17.129624672834712,332.3996087563079,0.25,0.003363751009870344
0,0,0,0,0,1,-717.773804,-44.474525,-76.608032,-123.606003,-0.114951,-13.1276,-1.5847,0.415,10,23,7.79,7.38,590.358571797719,1022.4137529077676,15702.55523714581,1.498517900261336,10.801379527751214,-156.21540774707464,0.1141184072134583,8.118936325119794,15.425979017727608,392.5638809286453,0.25,0.003219216512643915
0,0,0,0,0,1,-714.184082,-52.034218,-114.474014,-116.081001,-0.107952,-11.351,-1.54774,0.392,10,24,6.94,6.67,576.520992589238,946.297166450753,12708.87008378021,2.00980106170906,9.244404346537875,-120.97599863189735,16.347461833327912,7.0471526687407335,13.389590070607394,317.72175209450523,0.0,0.00199202432559456
0,0,0,0,0,1,-723.381531,-16.978731,-80.508087,-113.870003,-0.105896,-10.8291,-1.55986,0.299,10,23,7.55,7.19,558.9666622214337,984.8404030992424,14720.437427285717,1.1949123249453295,10.646843521945216,-149.34823101584644,7.2560287253223965,7.810710959886599,14.840350823784538,368.0109356821429,0.25,0.003448147928716468
0,0,0,0,0,1,-760.95343,-39.501637,-73.367752,-112.424004,-0.104552,-10.4877,-1.7296,0.31125,8,20,6.83,6.6,642.3498776091012,1076.0310295741997,14441.65239261354,1.3984318257066612,10.842028799127462,-162.75896026515494,4.688364563019582,7.677613643081355,14.587465921854577,361.04130981533854,0.125,0.001768443769403139
0,0,0,0,0,1,-745.686218,-39.503063,-81.771851,-110.862999,-0.1031,-10.1192,-1.49815,0.148,10,24,7.07,6.96,543.3629425532858,1025.4185215808418,16364.13316681394,1.7809937411536467,12.0513894756889,-180.6455104448264,12.44841625353475,9.211735347310205,17.502297159889388,409.1033291703485,0.25,0.002987842101421473
0,0,0,0,0,1,-787.17688,-39.825169,-109.157196,-109.945999,-0.102247,-9.90266,-1.52703,0.268,10,21,7.09,6.82,536.806590110993,991.493671954151,13505.853579948933,1.316456651728779,11.367177046078949,-163.4614672168373,13.6181299274727,7.873757057320662,14.96013840890926,337.6463394987233,0.125,0.001890009619195634
0,0,0,0,0,1,-686.349365,-22.847046,-106.05777,-107.126999,-0.099625,-9.23716,-1.48787,0.197,10,22,6.93,6.78,602.7775854924378,1084.1569384220556,16324.368028898149,1.9264298203331955,12.034483823240448,-187.3401217408768,13.67518913107943,8.34310022710757,15.851890431504383,408.1092007224537,0.125,0.002708337104674592
0,0,0,0,0,1,-743.904236,-9.260151,-136.220047,-116.348999,-0.108202,-11.4142,-1.57228,0.181,10,21,7.08,6.67,550.111246306713,1054.9413558487774,13536.269238023277,1.6494930877798293,12.62075273855161,-195.74308122016345,18.95316546470188,7.950813398628959,15.106545457395024,338.4067309505819,0.25,0.003262694130497058
